# AUR packages
password,1password,1Password password manager (AUR)
password,1password-cli,1Password CLI tool (AUR)
development,android-platform,Android platform SDK (AUR)
development,android-sdk,Android SDK (AUR) 
development,android-sdk-build-tools,Android build tools (AUR)
development,android-sdk-cmdline-tools-latest,Android command line tools (AUR)
development,android-sdk-platform-tools,Android platform tools (AUR)
development,checkstyle,Java code style checker (AUR)
development,claude-code,Claude AI coding assistant (AUR)
development,flutter,Flutter SDK (AUR)
image,cropgui,GTK GUI for lossless cropping (AUR)
system,ddcui,DDC monitor control GUI (AUR)
communication,discord-canary,Discord Canary client (AUR)
communication,discord-screenaudio,Discord with screen audio (AUR)
password,docker-credential-pass,Docker credential helper (AUR)
diagram,drawio-desktop-bin,Draw.io desktop app (AUR)
system,firmware-manager,System76 firmware manager (AUR)
system,aic94xx-firmware,Adaptec firmware (AUR)
system,ast-firmware,AST graphics firmware (AUR)
system,wd719x-firmware,WD firmware (AUR)
video,zoom,Zoom video conferencing (AUR)
fonts,nerd-fonts-complete,Complete Nerd Fonts (AUR)
tools,visual-studio-code-bin,VS Code binary (AUR)
development,phpstorm,PHPStorm IDE (AUR)
development,intellij-idea-ultimate-edition,IntelliJ IDEA (AUR)
development,nodejs-neovim,Neovim Node.js support (AUR)
development,ruby-neovim,Neovim Ruby support (AUR)
tools,spotify,Spotify music client (AUR)
